,Star_name,Distance,Mass,Radius,Gravity
57,Delta Cephei,887,4.5,44.5,0.6294238060442977
58,Mu Cephei,"6,000",19.2,972.0,0.005628846063074036
59,Titawin,44.25,1.27,1.48,160.5946092786107
60,Rho Cassiopeiae,"8,154",22.0,800.0,0.009521237091049602
61,P Cygni,"5,545",30.0,76.0,1.438615526222554
62,VV Cephei,"4,900",18.2,750.0,0.008961888455478444
63,61 Cygni,11.41,0.7,0.665,438.4352079916354
64,R Doradus,178,0.8,298.0,0.002495215915037302
65,Polaris Australis,281,1.59,3.74,31.48506490115945
66,R Coronae Borealis,"4,566",0.85,85.0,0.03258605207631949
67,54 Piscium,36.1,0.76,0.94,238.23664148146662
68,Mira,300,1.2,370.0,0.0024278870064167917
69,RW Cephei,"14,000",13.9,1158.0,0.0028711002329795195
70,Lacaille 8760,12.87,0.6,0.51,638.9421975748919
71,V838 Monocerotis,"19,896",0.5,450.0,0.0006839047966634955
72,HD 140283,190,2.0,1.4,282.63412515175077
73,II Pegasi,130,0.8,3.4,19.168265927246757
74,VY Canis Majoris,"3,900",17.0,1420.0,0.002335193674384133
75,Pistol Star,"25,000",100.0,320.0,0.2704896900866364
76,S Doradus,"1,69,000",24.0,380.0,0.046035696839121724
77,UY Scuti,"5,100",7.0,755.0,0.0034013773054532865
78,Barnard's Star,5.98,0.14,0.2,969.4350492705049
79,Luhman 16,6.52,0.04,0.02,27698.14426487157
80,Proxima Centauri,4.25,0.12,0.15,1477.2343607931502
81,KIC 8462852,"1,470",1.43,1.58,158.66185827097556
82,R136a1,"1,63,000",290.0,32.0,78.44201012512455
83,Melnick 42,"1,63,000",189.0,21.1,117.58382035580341
84,WR 102,"18,134",19.0,0.39,34599.917227650214
85,VFTS 352,"1,64,000",57.48,14.47,76.03794483378462
86,YBP 1194,"2,772",1.01,0.99,285.4313407562522
87,Gliese 1214,47.5,0.16,0.21,1004.9213338728914
88,NML Cygni,"5,251",50.0,1900.0,0.00383630806992681
89,VB 10,18.72,0.075,0.1,2077.3608198653674
90,WOH G64,"1,63,000",20.0,1600.0,0.0021639175206930915
91,TRAPPIST-1,39.6,0.089,0.12,1711.899194148312
92,2MASS J0523-1403,40.3,0.07,0.086,2621.5117611425235
93,WISE 0855−0714,7.27,0.003,0.086,112.35050404896529
94,Icarus,"14,40,00,00,000",33.0,0.2,228509.69018519044
95,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173537,1226.2074293904325
96,2MASS J00040288-6410358,192,0.018137172,0.16750369,179.04882984999512
97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1664.8196388859578
98,2MASS J00274197+0503417,236,0.029592228,0.14797872,374.30859925484316
99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1407.779715992043
100,2MASS J00332386-1521309 [de],131,0.027683052,0.14695109,355.0741187916821
101,2MASS J00345157+0523050,31,0.040092696,0.09659722,1190.1088318836212
102,2MASS 0036+1821,28.6,0.040092696,0.09659722,1190.1088318836212
103,2MASSW J0045214+163445,57,0.021955524,0.16647606,219.4274225818913
104,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.1335919,177.781938098456
105,2MASS J00501994-3322402 [de],34,0.03818352,0.09659722,1133.436982746306
106,2MASS J00584253-0651239 [de],96,0.027683052,0.14695109,355.0741187916821
107,2MASSI J0103320+193536,70,0.049638576,0.10070774,1355.6397265108562
108,SDSSp J010752.33+004156.1 [de],51,0.049638576,0.10070774,1355.6397265108562
109,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606,190.80645441903593
110,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843,193.18408200969017
111,SDSS J015141.69+124429.6,70,0.044865636,0.09968011,1250.6836843412664
112,SDSS J020742.48+000056.2 [de],111,0.044865636,0.09968011,1250.6836843412664
113,2MASS J02103857-3015313,101,0.01431882,0.15722739,160.435876899051
114,2MASS J02340093-6442068,155,0.01909176,0.16647606,190.80645441903593
115,2MASS J02411151-0326587 [de],152,0.025773876,0.14489583,340.03109482389175
116,2MASS J02431371−2453298,35,0.031501404,0.10173537,843.0176077059222
117,LP 771-21,53,0.074457864,0.11098404,1674.3266375270402
118,Teegarden's star,12.578,0.07636704,0.13050901,1241.8685820009123
119,2MASS J02535980+3206373,184,0.06204822,0.1952497,450.8159256721007
120,WISE J0254+0223,24,0.06204822,0.1952497,450.8159256721007
121,DEN 0255-4700,16.2,0.07636704,0.09968011,2128.823292495772
122,2MASS J03185403-3421292 [de],45,0.046774812,0.09968011,1303.9042666536604
123,2MASS J03205965+1854233,47,0.084003744,0.11817745,1666.0195232515682
124,2MASS J03231002-4631237,192,0.021955524,0.17058658,208.98001445199438
125,SDSS J032553.17+042540.1,59,0.04295646,0.09762485,1248.4133326304327
126,2MASS J03264225-2102057 [de],80,0.017182584,0.1335919,266.67290714768404
127,2MASS J03284265+2302051 [de],98,0.051547752,0.10070774,1407.779715992043
128,2MASS J03341218-4953322,27,0.069684924,0.10687352,1689.8543595295957
129,LP 944-20,20.9,0.069684924,0.14695109,893.8072645445792
130,2MASP J0345432+254023,88,0.070639512,0.10790115,1680.5297943002959
131,Teide 1,380,0.05250234,0.38844414,96.37672952798245
132,2MASS J03510004-0052452,48,0.097367976,0.13050901,1583.3824420511635
133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,287.39236626338266
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,832.2755550869551
135,2MASS J04285096-2253227 [de],85,0.07636704,0.11201167,1685.8933052009697
136,2MASS J04351612-1606574,34,0.0954588,0.12948138,1577.0737559124398
137,2MASS J04362788-4114465,142,0.037228932,0.20244311,251.60846582127087
138,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968011,1277.2939754974632
139,2MASS J04433764+0002040,82,0.021000936,0.18291814,173.85043077737967
140,2MASS J04455387-3048204 [de],42,0.061093632,0.102763,1602.4078687274177
141,2MASS J04510093-3402150 [de],69,0.000992772,7.398936,0.005022982341166461
142,2MASS J05002100+0330501 [de],44,0.061093632,0.102763,1602.4078687274177
143,2MASS J05012406-0010452 [de],64,0.020046348,0.14181294,276.09225053884893
144,2MASS J05160945-0445499 [de],73,0.044865636,0.09968011,1250.6836843412664
145,2MASS J0523−1403,40,0.064911984,0.10379063,1669.011234705305
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1497.2012546621115
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,352.62483907662846
148,2MASS J06085283-2753583,102,0.036274344,0.15517213,417.2754142611746
149,2MASS J06244595-4521548 [de],39,0.053456928,0.10173537,1430.575334288838
150,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063,1644.4669518419917
151,DENIS-P J0652197-253450 [de],51,0.0715941,0.10790115,1703.239656385435
152,2MASS J07075327-4900503,60,0.068730336,0.10584589,1699.2259895544773
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,677.8198632554281
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,1161.7729073149637
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,1048.429209040333
156,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659722,1218.444756452279
157,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589,1675.6256285884429
158,2MASS J07522390+1612157,60,0.001918722,6.987884,0.010883569479815539
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,1246.780681020937
160,2MASS J08251968+2115521 [de],35,0.049638576,0.10070774,1355.6397265108562
161,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173537,1226.2074293904325
162,LHS 2021,55,0.084003744,0.11817745,1666.0195232515682
163,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865248,1249.707742673428
164,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,1552.332622829686
165,2MASSI J0847287-153237 [de],43,0.061093632,0.102763,1602.4078687274177
166,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,1683.8998751530037
167,2MASSI J0859254-194926 [de],50,0.0477294,0.10070774,1303.4997370296692
168,2MASSI J0937347+293142,20,0.040092696,0.09659722,1190.1088318836212
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,887.7605920927521
170,2MASS J09490860-1545485 [de],59,0.046774812,0.09865248,1331.2104215434342
